Part_Name,Material_Composition,Age,Condition,Location,Manufacturer,Aircraft_Model
Landing Gear,Aluminum,21,Used,Australia,Boeing,737
Engine,Aluminum,42,New,North America,Boeing,Citation X
Avionics,Titanium,11,Used,Africa,Boeing,Citation X
Avionics,Steel,48,Used,Africa,Embraer,737
Engine,Steel,7,Used,South America,Boeing,737
Landing Gear,Aluminum,9,Used,Europe,Bombardier,Citation X
Engine,Aluminum,26,New,Australia,Bombardier,737
Landing Gear,Titanium,3,New,Australia,Cessna,A320
Landing Gear,Composite,35,New,South America,Gulfstream,E175
Engine,Titanium,45,Used,Europe,Bombardier,A320
Avionics,Composite,12,New,Australia,Bombardier,Citation X
Landing Gear,Steel,32,Used,North America,Boeing,737
Avionics,Steel,34,Used,Asia,Cessna,A320
Avionics,Steel,45,Used,Asia,Embraer,A320
Landing Gear,Aluminum,46,Used,North America,Bombardier,G650
Avionics,Steel,9,Used,Australia,Airbus,E175
Fuselage,Composite,3,New,North America,Gulfstream,Citation X
Engine,Aluminum,3,Used,Africa,Embraer,E175
Wing,Titanium,22,New,Africa,Embraer,G650
Avionics,Steel,49,Used,North America,Embraer,A320
Landing Gear,Steel,43,Used,North America,Airbus,G650
Wing,Steel,6,Used,Europe,Gulfstream,G650
Fuselage,Composite,34,Used,South America,Bombardier,G650
Wing,Aluminum,46,Used,Asia,Embraer,E175
Landing Gear,Composite,45,Used,Asia,Gulfstream,CRJ900
Wing,Aluminum,7,New,South America,Embraer,737
Engine,Composite,44,Used,South America,Cessna,737
Avionics,Composite,27,New,Africa,Bombardier,737
Fuselage,Composite,15,New,South America,Bombardier,CRJ900
Wing,Steel,28,New,South America,Airbus,E175
Landing Gear,Titanium,25,Used,Asia,Airbus,CRJ900
Fuselage,Steel,13,Used,Asia,Boeing,737
Wing,Titanium,3,Used,Asia,Embraer,E175
Fuselage,Titanium,20,Used,Africa,Cessna,A320
Engine,Steel,3,Used,Africa,Embraer,G650
Fuselage,Aluminum,32,Used,Africa,Gulfstream,A320
Landing Gear,Titanium,35,New,Asia,Embraer,E175
Avionics,Aluminum,22,New,Asia,Airbus,Citation X
Wing,Composite,7,Used,Africa,Airbus,Citation X
Engine,Composite,46,Used,Asia,Gulfstream,A320
Fuselage,Steel,7,New,Australia,Boeing,G650
Avionics,Titanium,45,New,South America,Airbus,G650
Engine,Composite,12,Used,Africa,Cessna,G650
Avionics,Steel,42,New,South America,Bombardier,Citation X
Landing Gear,Titanium,44,Used,Africa,Gulfstream,Citation X
Fuselage,Aluminum,3,New,South America,Bombardier,G650
Avionics,Titanium,47,Used,South America,Embraer,G650
Landing Gear,Titanium,46,New,South America,Embraer,A320
Engine,Titanium,45,New,Asia,Boeing,G650
Engine,Aluminum,21,Used,Australia,Embraer,737
Landing Gear,Titanium,48,New,Asia,Gulfstream,A320
Engine,Titanium,37,New,Australia,Bombardier,737
Wing,Composite,35,Used,Australia,Bombardier,G650
Wing,Composite,38,Used,North America,Boeing,G650
Engine,Titanium,11,New,Europe,Embraer,E175
Landing Gear,Steel,29,Used,North America,Airbus,G650
Landing Gear,Composite,28,Used,South America,Airbus,A320
Wing,Aluminum,41,Used,South America,Gulfstream,737
Engine,Titanium,13,Used,North America,Airbus,A320
Avionics,Titanium,49,Used,North America,Cessna,CRJ900
Wing,Titanium,31,Used,Australia,Airbus,E175
Avionics,Titanium,41,New,Africa,Bombardier,G650
Avionics,Steel,21,New,Europe,Cessna,Citation X
Fuselage,Titanium,30,Used,North America,Embraer,G650
Landing Gear,Composite,39,Used,Europe,Embraer,A320
Fuselage,Steel,36,New,Europe,Embraer,Citation X
Wing,Aluminum,32,New,Australia,Embraer,Citation X
Fuselage,Aluminum,6,Used,North America,Gulfstream,737
Landing Gear,Titanium,49,Used,Africa,Boeing,A320
Engine,Aluminum,45,Used,South America,Cessna,737
Landing Gear,Composite,37,New,North America,Embraer,Citation X
Engine,Steel,19,New,Africa,Gulfstream,737
Engine,Aluminum,29,New,North America,Cessna,G650
Fuselage,Composite,41,Used,Australia,Embraer,G650
